name,category,organization,year,task,sensor,resolution,size,classes,coverage,license,project,github,huggingface,kaggle,earthengine,nasa_earthdata,paper,zenodo,other_links,verified_status
Microsoft Global ML Building Footprints,6. Instance Segmentation & Building Footprints,Microsoft,2023,Building footprint extraction,Bing Maps satellite imagery,Varies,1.3 billion building footprints worldwide,Building footprints,Global (180+ countries),ODbL-1.0,,https://github.com/microsoft/GlobalMLBuildingFootprints,,,,,,,https://planetarycomputer.microsoft.com/dataset/ms-buildings,metadata-only
Google Open Buildings,6. Instance Segmentation & Building Footprints,Google Research,2021 (v3: 2023),Building footprint detection,"Maxar, CNES/Airbus satellite imagery",Varies (sub-meter),2.5 billion building detections (v3),Building footprints with confidence scores,"Africa (64%), South/Southeast Asia, Latin America",CC-BY-4.0,https://sites.research.google/open-buildings/,,,,,,https://arxiv.org/abs/2107.12283,,,metadata-only
Inria Aerial Image Labeling,6. Instance Segmentation & Building Footprints,Inria,2017,Building segmentation,VHR aerial,0.3 m,"360 images (180 training + 180 test, 5000×5000 px)",Building / not building,5 US cities + 5 Austrian cities,CC-BY-NC-SA-4.0,https://project.inria.fr/aerialimagelabeling/,,,,,,https://arxiv.org/abs/1910.05985,,,metadata-only
PASTIS (Panoptic Agricultural Satellite Time Series),7. Agricultural & Crop Mapping,IGN / Inria,2021,Panoptic crop segmentation (semantic + instance),Sentinel-2 (time series),10 m,"2,433 patches (128×128 px); 124,422 agricultural parcels; 38–61 time steps",18 crop types + background,France,CC-BY-4.0,,https://github.com/VSainteuf/pastis-benchmark,,,,,https://arxiv.org/abs/2107.07933,,,metadata-only
BreizhCrops,7. Agricultural & Crop Mapping,University of Würzburg / INRA,2020,Crop type classification from time series,"Sentinel-2 (time series, ~70 observations/year)",10 m,"600,000+ parcel time series",9 crop categories,"Brittany (Bretagne), France",MIT,,https://github.com/dl4sits/BreizhCrops,,,,,https://arxiv.org/abs/1905.11893,,,metadata-only
CropHarvest,7. Agricultural & Crop Mapping,NASA Harvest / McGill,2021,Crop / non-crop binary + multi-class classification,"Sentinel-1/2, SRTM DEM, ERA5 climate (all fused)",10 m,"70,213 labelled pixels across 70+ countries",351 crop type labels (mapped to binary or coarse taxonomy),Global (strongly multi-continental),CC-BY-SA-4.0,,https://github.com/nasaharvest/cropharvest,https://huggingface.co/datasets/nasaharvest/cropharvest,,,,https://arxiv.org/abs/2206.08919,,,metadata-only
Sen4AgriNet,7. Agricultural & Crop Mapping,Orion AI Lab (NTUA),2022,Crop type mapping from time series,Sentinel-2 (time series),10 m,"247,421 patches (annual time series)",15+ crop categories,"France, Greece",CC-BY-4.0,,https://github.com/Orion-AI-Lab/S4A,,,,,https://arxiv.org/abs/2201.07771,,,metadata-only
EuroCrops,7. Agricultural & Crop Mapping,TU Munich,2023,Crop type mapping (LPIS-derived labels + Sentinel-2),Sentinel-2,10 m,23 million field parcels across 16 EU countries,HCAT harmonised crop taxonomy (34 L1 classes),16 European countries,CC-BY-SA-4.0,,https://github.com/maja601/EuroCrops,https://huggingface.co/datasets/torchgeo/EuroCrops,,,,https://arxiv.org/abs/2302.10202,,,metadata-only
ZueriCrop,7. Agricultural & Crop Mapping,ETH Zurich / Agroscope,2021,Crop type mapping (time series),Sentinel-2 (time series),10 m,"116,000 patches (24×24 px); 71 time steps",48 crop categories,"Zurich canton, Switzerland",CC-BY-NC-4.0,,https://github.com/0zgur0/ms-convSTAR,,,,,https://arxiv.org/abs/2102.08820,,,metadata-only
Kenya Crop Type (Radiant MLHub),7. Agricultural & Crop Mapping,Radiant Earth / PlantVillage,2020,Crop type segmentation,Sentinel-2 (time series),10 m,"4,688 patches with ground truth labels","7 crop types (maize, cassava, etc.)",Western Kenya,CC-BY-SA-4.0,,,,,,,,,,metadata-only
HRSID (High-Resolution SAR Images Dataset),8. SAR (Synthetic Aperture Radar),PLA Strategic Support Force,2020,Ship detection & instance segmentation,"Sentinel-1, TerraSAR-X, TanDEM-X (SAR)",0.5–3 m,"5,604 images; 16,951 ship instances",Ship / non-ship,Global waters,CC-BY-NC-SA-4.0,,https://github.com/chaozhong2010/HRSID,,,,,https://ieeexplore.ieee.org/document/9127795,,,metadata-only
SAR-Ship Dataset,8. SAR (Synthetic Aperture Radar),Chinese Academy of Sciences,2019,Ship detection,"Sentinel-1, GF-3 (SAR)",1.7–25 m,"43,819 ship chips (256×256 px)",Ship instances,Global,CC-BY-NC-4.0,,https://github.com/CAESAR-Radi/SAR-Ship-Dataset,,,,,https://www.mdpi.com/2072-4292/11/7/765,,,metadata-only
SAR-Aircraft Dataset,8. SAR (Synthetic Aperture Radar),Huazhong University of Science and Technology,2021,Aircraft detection,"SAR (C-band, X-band)",Medium–High,"2,966 patches; 7,835 aircraft instances",Aircraft,Multiple airports,CC-BY-NC-4.0,,https://github.com/hust-rslab/SAR-aircraft-data,,,,,https://arxiv.org/abs/2107.11272,,,metadata-only
MSTAR (Moving and Stationary Target Acquisition and Recognition),8. SAR (Synthetic Aperture Radar),DARPA / Air Force Research Lab,1995–1997,Automatic target recognition (ATR),"SAR (X-band, 1 ft resolution)",0.3 m (1 ft),"2.4 GB; ~14,000 target chips",10 military vehicle categories,USA test ranges,Public domain (US government),https://www.sdms.afrl.af.mil/index.php?collection=mstar,,,,,,,,,metadata-only
CaFFe (Change detection And Flood mapping with Flood-SAR),8. SAR (Synthetic Aperture Radar),DLR / University of Florence,2022,Flood extent mapping,"Sentinel-1 (SAR), multiple other SAR sources",6–20 m,"19,092 image pairs",2 (flooded / non-flooded),Global (diverse flood events),CC-BY-4.0,,,https://huggingface.co/datasets/torchgeo/CaFFe,,,,https://arxiv.org/abs/2209.09701,,,metadata-only
CloudSEN12+,9. Cloud Detection & Atmospheric,Image & Signal Processing Group (UV),2022,Cloud and cloud shadow segmentation,Sentinel-2 (all 13 bands),10–60 m,"49,400 patches (512×512 px) — largest cloud dataset","4 (clear, thick cloud, thin cloud, cloud shadow)",Global stratified sample,CC-BY-4.0,https://cloudsen12.github.io,,https://huggingface.co/datasets/isp-uv-es/CloudSEN12Plus,,,,https://arxiv.org/abs/2202.04090,,,metadata-only
95-Cloud / 38-Cloud,9. Cloud Detection & Atmospheric,Concordia University,2020,Cloud segmentation,Landsat 8,30 m,"34,701 patches (384×384 px)",Cloud mask,Global,CC-BY-4.0,,https://github.com/SorourMo/95-Cloud-An-Extension-to-38-Cloud-Dataset,,,,,https://ieeexplore.ieee.org/document/9394710,,,metadata-only
L8 Biome Cloud Validation,9. Cloud Detection & Atmospheric,USGS,2017,Cloud & cloud shadow segmentation (benchmark),Landsat 8,15–30 m,96 Landsat scenes,"4 categories (clear, cloud, cloud shadow, snow/ice)",12 global biomes,CC0-1.0,https://landsat.usgs.gov/landsat-8-cloud-cover-assessment-validation-data,,,,,,https://www.sciencedirect.com/science/article/pii/S0034425717301293,,,metadata-only
SeCo (Seasonal Contrast),10. Time Series & Temporal,ServiceNow Research,2021,Self-supervised pre-training on seasonal data,Sentinel-2,10 m,1 million patches (100K locations × 5 season samples),Unlabeled,Global,CC-BY-4.0,,https://github.com/ServiceNow/seasonal-contrast,https://huggingface.co/datasets/torchgeo/SeasonalContrast,,,,https://arxiv.org/abs/2103.16607,,,metadata-only
SEN12MS-CR & SEN12MS-CR-TS (Cloud Removal),10. Time Series & Temporal,TU Munich,2020 / 2022,Multi-temporal cloud removal / reconstruction,"Sentinel-1 (SAR), Sentinel-2 (MS)",10 m,175 globally distributed AOIs; ~122k patches (CR-TS),Pixel-level reconstructed cloud-free imagery,Global,CC-BY-4.0,https://patricktum.github.io/cloud_removal/,,,,,,,,,metadata-only
TimeMatch,10. Time Series & Temporal,University of Copenhagen,2022,Cross-region crop type classification (domain adaptation),Sentinel-2 (time series),10 m,1.4 million parcel time series across 4 European regions,8 crop categories,"Austria, Denmark, France, Lithuania",CC-BY-4.0,,https://github.com/jnyborg/timematch,,,,,https://arxiv.org/abs/2111.02682,https://zenodo.org/record/6350734,,metadata-only
Digital Typhoon,10. Time Series & Temporal,"National Institute of Informatics, Japan",2023,Typhoon intensity classification & regression,Himawari geostationary satellite (infrared),5 km (resampled to 512×512 px per typhoon),"189,364 images spanning 1,099 typhoons (1978–2022)",8 intensity levels (Saffir-Simpson equivalent),Western Pacific Ocean,CC-BY-4.0,,https://github.com/kitamoto-lab/digital-typhoon,,,,,https://arxiv.org/abs/2311.02665,,,metadata-only
Major TOM Embeddings,11. Foundation Model Embeddings (Pre-computed),ESA Φ-lab,2024,,,,,,Global,CC-BY-SA-4.0,,,https://huggingface.co/Major-TOM,,,,,,,metadata-only
Clay Model Embeddings,11. Foundation Model Embeddings (Pre-computed),Clay Foundation,2024,,,,,,Global,ODC-By-1.0,https://clay-foundation.github.io/model/,,https://huggingface.co/datasets/made-with-clay/Clay-Embeddings,,,,,,,metadata-only
Google Satellite Embedding Dataset,11. Foundation Model Embeddings (Pre-computed),Google / DeepMind (AlphaEarth Foundations),2025,,,,,,Global,CC-BY-4.0,,,,,,,,,https://medium.com/google-earth/ai-powered-pixels-introducing-googles-satellite-embedding-dataset-31744c1f4650,metadata-only
Tessera Embeddings,11. Foundation Model Embeddings (Pre-computed),Tessera Earth,2024,,,,,,Global,CC0-1.0,,,https://huggingface.co/datasets/Tessera-Earth/Tessera-Embeddings,,,,,,,metadata-only
SATIN (Satellite Task-INdependent benchmark),12. Benchmarks & Multi-Task Evaluation,University of Cambridge,2023,Zero-shot CLIP evaluation across 27 diverse RS tasks,Multi-sensor,,"27 datasets, 100+ categories",,Global,CC-BY-4.0,https://satinbenchmark.github.io,,,,,,https://arxiv.org/abs/2304.11619,,,metadata-only
pangaea-bench,12. Benchmarks & Multi-Task Evaluation,TU Munich / ESA Φ-lab,2024,Unified benchmark for geospatial foundation models (7 tasks),Multi-sensor,,,,Global,CC-BY-4.0,,https://github.com/yurujaja/pangaea-bench,,,,,https://arxiv.org/abs/2405.15982,,,metadata-only
PhilEO Bench (ESA),12. Benchmarks & Multi-Task Evaluation,ESA Φ-lab,2024,"Downstream evaluation (building density, road segmentation, land cover)",Sentinel-2,10 m,,,Global,CC-BY-4.0,,https://github.com/ESA-PhiLab/PhilEO-Bench,https://huggingface.co/PhilEO-Community,,,,https://arxiv.org/abs/2401.04464,,,metadata-only
GEO-Bench,12. Benchmarks & Multi-Task Evaluation,ServiceNow Research / Mila,2023,Standardised benchmark for geospatial ML (6 classification + 6 segmentation tasks),Multi-sensor,,,,Global,CC-BY-4.0,,https://github.com/ServiceNow/geo-bench,,,,,https://arxiv.org/abs/2306.03831,,,metadata-only
EarthView,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",Satellogic / collaborators,2025,"Self-supervised pre-training, multisensor representation learning","Satellogic, NEON, Sentinel-1, Sentinel-2",0.1 m–20 m depending on subset,"Tens of millions of samples across modalities; includes ~6M Satellogic, ~10M Sentinel-2, ~5.2M Sentinel-1, and ~1M NEON samples",Unlabeled,Global / multi-continental,See Hugging Face dataset card,,https://github.com/satellogic/satellogic-earthview,https://huggingface.co/datasets/satellogic/EarthView,,,,https://arxiv.org/abs/2501.08111,,,metadata-only
HLS Global Dataset / Prithvi-EO Training Data,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",NASA IMPACT / NASA GSFC / IBM,2024,"Foundation model pre-training, time-series EO",Harmonized Landsat 8/9 and Sentinel-2,30 m,"Prithvi-EO-2.0 reports ~4.2M global time-series samples for training and 45,568 validation samples",Unlabeled,Global,NASA open data terms,https://hls.gsfc.nasa.gov,,,,,https://www.earthdata.nasa.gov/data/projects/hls,https://arxiv.org/abs/2412.02732,,,metadata-only
SSL4EO-S12 v1.1,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",TU Munich / Zhu Lab,2025,"Multimodal, multitemporal pre-training","Sentinel-1, Sentinel-2",10 m,Large-scale global seasonal patch dataset,Unlabeled,Global,CC-BY-4.0,,https://github.com/zhu-xlab/SSL4EO-S12,https://huggingface.co/datasets/embed2scale/SSL4EO-S12-v1.1,,,,https://arxiv.org/abs/2503.00168,,,metadata-only
