name,website,country,city,industry_category,short_description,products_services,uses_gis,uses_remote_sensing,uses_drones,uses_lidar,uses_satellite_data,source_links,linkedin_url,followers,estimated_revenue,company_name,hq_country,hq_city,founded_year,status,main_product_or_service,product_category,core_use_cases,industry_verticals,delivery_model,target_customer_type,target_roles,regions_served,notable_customers,pricing_model,pricing_public,entry_price_or_plan,revenue_model,key_differentiators,main_competitors,partnerships,channel,go_to_market_notes,employee_count,linkedin_followers,funding,estimated_revenue_or_proxy,web_traffic_proxy,recent_news_or_launches,last_verified_date,data_sources,tech_stack_or_platform_notes,competitive_with_brooksie,potential_customer_of_brooksie,brooksie_as_customer_of_them
Aerial Hawk,,,unknown,,unknown,,unknown,unknown,yes,unknown,unknown,https://www.linkedin.com/company/aerialhawk/,https://www.linkedin.com/company/aerialhawk/,119,,Aerial Hawk,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,119,unknown,unknown,unknown,unknown,2026-04-17,drone imagery,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
AFEI DI2E,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,AFEI DI2E,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
AgHive,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,https://www.linkedin.com/company/aghive/,https://www.linkedin.com/company/aghive/,350,,AgHive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,350,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Airborne Resources Inc.,,,unknown,,Airborne Resources Inc,Airborne Resources Inc,unknown,unknown,unknown,unknown,unknown,unknown,,,,Airborne Resources Inc.,unknown,unknown,unknown,unknown,Airborne Resources Inc,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
AirForce ISR,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,AirForce ISR,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Alamo Area GIS Users Group,,,unknown,geospatial software / GIS,GIS / mapping platform,GIS,yes,unknown,unknown,unknown,unknown,unknown,,,,Alamo Area GIS Users Group,unknown,unknown,unknown,unknown,GIS,GIS / mapping platform,unknown,unknown,SaaS,enterprise,GIS analyst,unknown,unknown,unknown,unknown,unknown,unknown,GIS / mapping platform,Esri; Mapbox; CARTO; Felt; Atlas.co,unknown,direct,Direct website-led GTM into enterprise users for GIS / mapping platform.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data,unknown,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.","Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.","Brooksie could use this for map rendering, visualization, geospatial UI components, or workflow integrations."
Alberta Energy Efficiency Alliance,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,2813,,Alberta Energy Efficiency Alliance,unknown,unknown,unknown,unknown,unknown,unknown,unknown,energy / utilities,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,2813,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Alcatel Government Solutions,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Alcatel Government Solutions,unknown,unknown,unknown,unknown,unknown,unknown,unknown,government,unknown,government,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into government users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Alt239,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Alt239,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Amigo Optima Software Solutions Pvt Ltd,,India,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Amigo Optima Software Solutions Pvt Ltd,India,unknown,unknown,unknown,unknown,unknown,unknown,unknown,SaaS,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Anjani IT Solutions Pvt Ltd,,India,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Anjani IT Solutions Pvt Ltd,India,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
ANNOVA Technologies Pvt. Ltd.,,India,unknown,,ANNOVA Technologies Pvt,ANNOVA Technologies Pvt,unknown,unknown,unknown,unknown,unknown,unknown,,,,ANNOVA Technologies Pvt. Ltd.,India,unknown,unknown,unknown,ANNOVA Technologies Pvt,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Apeiron,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,https://www.linkedin.com/company/apeiron/,https://www.linkedin.com/company/apeiron/,585,,Apeiron,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,585,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Appistry,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Appistry,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Applied Analysis Inc.,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Applied Analysis Inc.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Applied Geospatial Solutions International Inc.,,,unknown,geospatial software / GIS,Applied Geospatial Solutions International Inc,GIS and mapping platform,yes,unknown,unknown,unknown,unknown,unknown,,,,Applied Geospatial Solutions International Inc.,unknown,unknown,unknown,unknown,GIS and mapping platform,GIS / mapping platform,unknown,unknown,SaaS,enterprise,GIS analyst,Global,unknown,unknown,unknown,unknown,unknown,GIS / mapping platform,Esri; Mapbox; CARTO; Felt; Atlas.co,unknown,direct,Direct website-led GTM into enterprise users for GIS / mapping platform.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data,unknown,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.","Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.","Brooksie could use this for map rendering, visualization, geospatial UI components, or workflow integrations."
Applied Network Solutions,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Applied Network Solutions,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
ARC Science,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,ARC Science,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Army GEOINT Batallion,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Army GEOINT Batallion,unknown,unknown,unknown,unknown,unknown,unknown,unknown,defense / intelligence,unknown,government,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into government users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
ART Infosystems,,India,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,ART Infosystems,India,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Artemis,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,https://www.linkedin.com/company/artemis/,https://www.linkedin.com/company/artemis/,739,,Artemis,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,739,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
ASG,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,ASG,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Aster Private Limited,,India,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Aster Private Limited,India,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
ATG Informatics India Pvt Limited,,India,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,ATG Informatics India Pvt Limited,India,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Attivio,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Attivio,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
AutoMap,,,unknown,,unknown,,yes,unknown,unknown,unknown,unknown,unknown,,3277,,AutoMap,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,3277,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Avere Systems,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Avere Systems,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
B.T. Design LLC,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,B.T. Design LLC,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Basemap Consulting,,,unknown,consulting / integration services,consulting / integration services,Geospatial consulting and integration services,yes,unknown,unknown,unknown,unknown,https://www.linkedin.com/company/basemap-consulting/,https://www.linkedin.com/company/basemap-consulting/,1032,,Basemap Consulting,unknown,unknown,unknown,unknown,Geospatial consulting and integration services,consulting / integration services,unknown,unknown,services,enterprise,unknown,unknown,unknown,services,unknown,unknown,Services and project fees,consulting / integration services,Esri partners; GIS consultancies; system integrators,unknown,direct,Direct website-led GTM into enterprise users for consulting / integration services.,unknown,1032,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
Battula Technologies Pvt Ltd,,India,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Battula Technologies Pvt Ltd,India,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Bayanat Smart Solutions,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,61545,,Bayanat Smart Solutions,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,61545,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Belvoir Corporate Campus,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Belvoir Corporate Campus,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Benchmrk,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,202,,Benchmrk,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,202,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Bhanu Infotech,,India,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Bhanu Infotech,India,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Bharat Associates & Consultancy,,India,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Bharat Associates & Consultancy,India,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Bhoomi Engineering Consultants,,India,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Bhoomi Engineering Consultants,India,unknown,unknown,unknown,unknown,unknown,unknown,AEC / infrastructure,unknown,SMB,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into SMB users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Big Sky Aerial Solutions,,,unknown,,unknown,,unknown,unknown,yes,unknown,unknown,https://www.linkedin.com/company/big-sky-aerial-solutions/,https://www.linkedin.com/company/big-sky-aerial-solutions/,419,,Big Sky Aerial Solutions,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,419,unknown,unknown,unknown,unknown,2026-04-17,drone imagery,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Big Sky Associates,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Big Sky Associates,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
