name,website,country,city,industry_category,short_description,products_services,uses_gis,uses_remote_sensing,uses_drones,uses_lidar,uses_satellite_data,source_links,linkedin_url,followers,estimated_revenue,company_name,hq_country,hq_city,founded_year,status,main_product_or_service,product_category,core_use_cases,industry_verticals,delivery_model,target_customer_type,target_roles,regions_served,notable_customers,pricing_model,pricing_public,entry_price_or_plan,revenue_model,key_differentiators,main_competitors,partnerships,channel,go_to_market_notes,employee_count,linkedin_followers,funding,estimated_revenue_or_proxy,web_traffic_proxy,recent_news_or_launches,last_verified_date,data_sources,tech_stack_or_platform_notes,competitive_with_brooksie,potential_customer_of_brooksie,brooksie_as_customer_of_them
Cintoo US Inc.,https://cintoo.com/,Australia,unknown,Geo Week exhibitor,Official Geo Week exhibitor listed for the 2023 event.,"Geospatial, surveying, lidar, reality capture, mapping, or related products/services",yes,unknown,unknown,yes,unknown,https://www.geo-week.com/event-news/geo-week-announces-100-exhibitors-to-date/ | https://cintoo.com/en/ | https://cintoo.com/en/company-info | https://cintoo.com/en/customers | https://cintoo.com/en/blog | https://cintoo.com/,,,,Cintoo US Inc.,Australia,unknown,2013,acquired,"Geospatial, surveying, lidar, reality capture, mapping, or related products/services",LiDAR / 3D geospatial,map creation; data visualization; route optimization; surveying; collaboration,AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,API; SaaS; mobile; services,consumer; enterprise,GIS analyst; planner; developer; project manager; surveyor,Global,"Trusted by 90,000+ Industry Professionals How General Motors is Making Point Cloud Data the Deliverable Standard Using Cintoo Benefits of...",services,unknown,unknown,Services and project fees,"collaborative, AI-native LiDAR / 3D geospatial",RIEGL; Pix4D; Bentley,Partner ecosystem,partner-led,Partner-oriented GTM into consumer; enterprise accounts for LiDAR / 3D geospatial.,unknown,unknown,unknown,unknown,unknown,Cintoo Blog AEC BIM and Digital Twin - Cintoo,2026-04-17,GIS data; LiDAR / point clouds; location / POI data; API integrations,AI / machine learning; cloud platform; real-time collaboration,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
CIOCoverage,https://ciocoverage.com/,United States,unknown,surveying / geospatial exhibitor,INTERGEO 2025 exhibitor.,"Surveying, mapping, geospatial, photogrammetry, lidar, or related products/services",yes,unknown,unknown,yes,unknown,https://dvw.de/intergeo/en/exhibitors-products/exhibitor-directory | https://dvw.de/api/assets/downloads/intergeo/report/intergeo_report_2025_web%5B98%5D.pdf | https://www.ciocoverage.com/ | https://www.ciocoverage.com/about/ | https://www.ciocoverage.com/enterprise-resource-planning/ | https://www.ciocoverage.com/news/ | https://ciocoverage.com/,,,,CIOCoverage,United States,unknown,unknown,acquired,"Surveying, mapping, geospatial, photogrammetry, lidar, or related products/services",location data API,field operations; route optimization; drone mapping; surveying; reporting,government; AEC / infrastructure; energy / utilities; logistics / mobility; retail / commerce,API; SaaS; mobile; services,consumer; government; SMB; enterprise,GIS analyst; planner; developer; surveyor; data analyst,Global,unknown,subscription,unknown,unknown,SaaS subscriptions,"AI-native, real-time location data API",Mapbox; Foursquare; Geocode.XYZ; Placekey,Partner ecosystem,partner-led,Partner-oriented GTM into consumer; government; SMB; enterprise accounts for location data API.,unknown,unknown,unknown,unknown,unknown,Recent source: https://dvw.de/api/assets/downloads/intergeo/report/intergeo_report_2025_web%5B98%5D.pdf,2026-04-17,LiDAR / point clouds; location / POI data; API integrations,AI / machine learning; cloud platform; real-time collaboration,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
CiS GmbH,https://cis-rostock.de/,Germany,unknown,surveying / geospatial exhibitor,INTERGEO 2025 exhibitor.,"Surveying, mapping, geospatial, photogrammetry, lidar, or related products/services",yes,unknown,yes,yes,unknown,https://dvw.de/intergeo/en/exhibitors-products/exhibitor-directory | https://dvw.de/api/assets/downloads/intergeo/report/intergeo_report_2025_web%5B98%5D.pdf | https://cis-rostock.de/ | https://cis-rostock.de/impressum/,,,,CiS GmbH,Germany,unknown,unknown,active,"Surveying, mapping, geospatial, photogrammetry, lidar, or related products/services",drone mapping platform,route optimization; drone mapping; surveying,unknown,SaaS; services,consumer; enterprise,GIS analyst; surveyor; drone operator,Germany,unknown,services,unknown,unknown,Services and project fees,drone mapping platform,DroneDeploy; Pix4D; FlyPix AI,Safe Software / FME,partner-led,Partner-oriented GTM into consumer; enterprise accounts for drone mapping platform.,unknown,unknown,unknown,unknown,unknown,Recent source: https://dvw.de/api/assets/downloads/intergeo/report/intergeo_report_2025_web%5B98%5D.pdf,2026-04-17,GIS data; drone imagery; LiDAR / point clouds,unknown,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
CISS TDI GmbH,https://ciss.de/,,unknown,surveying / geospatial exhibitor,INTERGEO 2025 exhibitor.,"Surveying, mapping, geospatial, photogrammetry, lidar, or related products/services",yes,unknown,unknown,yes,unknown,https://dvw.de/intergeo/en/exhibitors-products/exhibitor-directory | https://dvw.de/api/assets/downloads/intergeo/report/intergeo_report_2025_web%5B98%5D.pdf | https://www.ciss.de/ | https://www.ciss.de/ueber-uns/ | https://www.ciss.de/blog/ | https://ciss.de/,,,,CISS TDI GmbH,unknown,unknown,unknown,active,"Surveying, mapping, geospatial, photogrammetry, lidar, or related products/services",drone mapping platform,drone mapping; surveying,AEC / infrastructure,SaaS; services,consumer; enterprise,GIS analyst; developer; surveyor,Global,unknown,services,unknown,unknown,Services and project fees,drone mapping platform,DroneDeploy; Pix4D; FlyPix AI,Partner ecosystem,partner-led,Partner-oriented GTM into consumer; enterprise accounts for drone mapping platform.,unknown,unknown,unknown,unknown,unknown,Recent source: https://dvw.de/api/assets/downloads/intergeo/report/intergeo_report_2025_web%5B98%5D.pdf,2026-04-17,GIS data; LiDAR / point clouds; API integrations,unknown,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Cities Digital (CDI),https://citiesdigital.com/,United States,Hudson,GIS / Esri partner,"CDI is a leading GIS consulting and integration firm, specializing in unlocking enterprise-wide mapping intelligence and building the foundation for next-generation systems. We empower organizations...","Application Development, Business Case Development, Data Conversion/Migration, Data Model & Database Design, GIS Strategy and Planning, Hosting Services, Implementation, Needs and Requirements, System Architecture and Design, System Integration, Training Services",yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/cities-digital-cdi-a2TUU000000z5612AA | https://www.cdi.support/ | https://www.cdi.support/about | https://www.cdi.support/laserfiche-tips | https://citiesdigital.com/,,,,Cities Digital (CDI),United States,Hudson,unknown,active,Geospatial consulting and integration services,consulting / integration services,field operations; project tracking; surveying,government; AEC / infrastructure; energy / utilities; defense / intelligence,API; SaaS; services,consumer; government; enterprise,GIS analyst; planner; developer; project manager; surveyor,Global,unknown,subscription,unknown,unknown,SaaS subscriptions,AI-native consulting / integration services,Esri partners; GIS consultancies; system integrators,Esri,marketplace,Marketplace-led distribution for consulting / integration services.,unknown,unknown,unknown,unknown,unknown,CDI | Fiche Tips,2026-04-17,GIS data; API integrations,AI / machine learning; API-first; cloud platform,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
City of Vienna,https://wien.gv.at/,Austria,unknown,GIS / mapping platform,City of Vienna MA 01 - Wien Digital - Stadt Wien Die MA 01 - Wien Digital ist die IT-Ab­teilung der Stadt Wien,GIS and mapping platform,yes,unknown,unknown,unknown,unknown,https://www.wien.gv.at/kontakt/ma01 | https://www.wien.gv.at/stadtplan/ | https://www.wien.gv.at/kontakt/uebersicht-newsletter-stadt-wien | https://wien.gv.at/,,,,City of Vienna,Austria,unknown,unknown,active,GIS and mapping platform,GIS / mapping platform,route optimization,government,SaaS; services,consumer; government; enterprise,GIS analyst; developer,Global,unknown,services,unknown,unknown,Services and project fees,AI-native GIS / mapping platform,Esri; Mapbox; CARTO; Felt; Atlas.co,Partner ecosystem,partner-led,Partner-oriented GTM into consumer; government; enterprise accounts for GIS / mapping platform.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; API integrations,AI / machine learning,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this for map rendering, visualization, geospatial UI components, or workflow integrations."
CityCLIM,https://cityclim.eu/,Luxembourg,unknown,location data API,UNDERSTANDING & MITIGATING CLIMATE CHANGE & URBAN HEAT ISLAND EFFECTS Build resilient cities for a sustainable future Effective services for city administrators and urban planners...,Location data and geocoding API,unknown,yes,unknown,unknown,yes,https://www.linkedin.com/company/cityclim/ | https://www.cityclim.eu/ | https://www.cityclim.eu/about | https://www.cityclim.eu/blog | https://cityclim.eu/,https://www.linkedin.com/company/cityclim/,434,,CityCLIM,Luxembourg,unknown,2009,acquired,Location data and geocoding API,location data API,data visualization; route optimization; satellite imagery analysis; reporting,government; environmental services; telecom,API; SaaS; services,government; enterprise,planner; developer; remote sensing analyst; data analyst,Global,unknown,services,unknown,unknown,Services and project fees,location data API,Mapbox; Foursquare; Geocode.XYZ; Placekey,Partner ecosystem,partner-led,Partner-oriented GTM into government; enterprise accounts for location data API.,unknown,434,unknown,unknown,unknown,Blog | CityClim,2026-04-17,satellite imagery; location / POI data; weather / climate data,unknown,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
CITYDATA,https://citydata.ai/,Singapore,unknown,geospatial / remote sensing company,Data.AI - Urban Digital Twins - Big Data & AI for Smarter Sustainable Resilient Cities CityData.AI creates urban digital twins with mobility big data &...,GIS-native field operations software,yes,yes,yes,unknown,yes,https://geoawesome.com/global-top-100-geospatial-companies-2025/ | https://geoawesome.com/global-top-100-geospatial-companies-2024-edition/ | https://geoawesome.com/global-top-100-geospatial-companies-2023-edition/ | https://www.citydata.ai/ | https://www.citydata.ai/ask | https://www.citydata.ai/customers | https://blog.citydata.ai/ | https://citydata.ai/,,,,CITYDATA,Singapore,unknown,unknown,active,GIS-native field operations software,field operations GIS software,data visualization; field operations; satellite imagery analysis; surveying; reporting,government; AEC / infrastructure; energy / utilities; agriculture; logistics / mobility,SaaS; mobile; services,consumer; government; enterprise,planner; developer; project manager; surveyor; remote sensing analyst,Global,unknown,subscription,unknown,unknown,SaaS subscriptions,"collaborative, AI-native, real-time field operations GIS software",Matidor; Atlas.co; Esri,Partner ecosystem,partner-led,Partner-oriented GTM into consumer; government; enterprise accounts for field operations GIS software.,unknown,unknown,unknown,unknown,unknown,Recent source: https://geoawesome.com/global-top-100-geospatial-companies-2025/,2026-04-17,satellite imagery; drone imagery; location / POI data,AI / machine learning; cloud platform; real-time collaboration,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
CityFibre,https://cityfibre.com/,,London and is jointly owned by Antin Infrastructure Partners,geospatial / remote sensing,CityFibre geospatial / remote sensing The Full Fibre Broadband Network | CityFibre CityFibre is a brand new full fibre network built for the data age,Location data and geocoding API,yes,yes,unknown,unknown,yes,https://github.com/AlexArcPy/geospatial-careers | https://cityfibre.com/ | https://cityfibre.com/about-us | https://cityfibre.com/careers/blog,,,,CityFibre,unknown,London and is jointly owned by Antin Infrastructure Partners,unknown,active,Location data and geocoding API,location data API,reporting,government; AEC / infrastructure; real estate; telecom; defense / intelligence,API; SaaS; services,consumer; government; enterprise,planner; developer; remote sensing analyst,Europe,unknown,services,unknown,unknown,Services and project fees,location data API,Mapbox; Foursquare; Geocode.XYZ; Placekey,Planet,partner-led,Partner-oriented GTM into consumer; government; enterprise accounts for location data API.,unknown,unknown,unknown,unknown,unknown,Our Blog | CityFibre,2026-04-17,unknown,API-first,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
CityFront Innovations LLC,https://cityfront.ai/,United States,Southlake,GIS / Esri partner,"CityFront Innovations builds community through its AI mobile applications for local, county, state, and college communities. Our platform enables connecting an entities disparate systems enabling...","Application Development, System Integration",yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/cityfront-innovation-a2TUU000000W8k12AC | https://www.cityfront.ai/ | https://cityfront.ai/,,,,CityFront Innovations LLC,United States,Southlake,unknown,active,"Application Development, System Integration",GIS / mapping platform,unknown,government,SaaS; mobile,government; enterprise,GIS analyst,unknown,unknown,unknown,unknown,unknown,unknown,AI-native GIS / mapping platform,Esri; Mapbox; CARTO; Felt; Atlas.co,Esri,partner-led,Partner-oriented GTM into government; enterprise accounts for GIS / mapping platform.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; API integrations,AI / machine learning,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.","Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.","Brooksie could use this for map rendering, visualization, geospatial UI components, or workflow integrations."
Citygate GIS LLC,https://citygategis.com/,United States,Annapolis,GIS / Esri partner,"Citygate GIS LLC. provides software products and consulting services tailored to support clients with requirements in Emergency Management, Homeland Security, Redistricting, School Planning, Internet Web...",Geospatial consulting and integration services,yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/citygate-gis-llc-a2T70000000TNNFEA4 | https://citygategis.com/ | https://citygategis.com/clients,,,,Citygate GIS LLC,United States,Annapolis,unknown,active,Geospatial consulting and integration services,consulting / integration services,route optimization,government; energy / utilities; environmental services; agriculture; logistics / mobility,SaaS; services,consumer; government; SMB; enterprise,GIS analyst; planner; developer,Global,unknown,services,unknown,unknown,Services and project fees,consulting / integration services,Esri partners; GIS consultancies; system integrators,Esri,partner-led,Partner-oriented GTM into consumer; government; SMB; enterprise accounts for consulting / integration services.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; location / POI data,unknown,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
CityMapper,https://citymapper.com/,Netherlands,unknown,geospatial / remote sensing,"Citymapper for Cities Did you know we work with cities and agencies to offer award winning journey planning, plus unique rider insights and tools to...",Earth observation and imagery analytics platform,yes,yes,unknown,unknown,yes,https://github.com/AlexArcPy/geospatial-careers | https://citymapper.com/ | https://citymapper.com/news,,,,CityMapper,Netherlands,unknown,unknown,active,Earth observation and imagery analytics platform,earth observation analytics,data visualization; route optimization,government; energy / utilities; logistics / mobility; travel / tourism,mobile,consumer; government; enterprise,planner; developer; remote sensing analyst; data analyst,Global,unknown,unknown,unknown,unknown,unknown,AI-native earth observation analytics,Planet; Picterra; Brooksie AI; UP42,Planet,partner-led,Partner-oriented GTM into consumer; government; enterprise accounts for earth observation analytics.,unknown,unknown,unknown,unknown,unknown,Citymapper - News,2026-04-17,unknown,AI / machine learning,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
CITYVIEW,https://municipalsoftware.com/,Canada,Victoria,GIS / Esri partner,"Since 1982, CityView has been where our customers needed us. Initially, empowering Cities and Counties to take control of their permitting, inspections, land management, case...","Application Development, Business Case Development, Data Conversion/Migration, Data Model & Database Design, GIS Strategy and Planning, Implementation, Needs and Requirements, System Integration, Training Services",yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/cityview-a2T70000000TPwcEAG | https://www.municipalsoftware.com/ | https://www.municipalsoftware.com/about/ | https://www.municipalsoftware.com/electronic-plans-review/ | https://www.municipalsoftware.com/press-release | https://municipalsoftware.com/,,,,CITYVIEW,Canada,Victoria,1982,acquired,Geospatial consulting and integration services,consulting / integration services,data visualization; route optimization; reporting; collaboration,government; AEC / infrastructure; energy / utilities; environmental services; real estate,SaaS; services,government; enterprise,GIS analyst; planner; data analyst,North America; United States; Canada,unknown,subscription,yes,Free,SaaS subscriptions,"collaborative, AI-native consulting / integration services",Esri partners; GIS consultancies; system integrators,Esri,partner-led,Partner-oriented GTM into government; enterprise accounts for consulting / integration services.,unknown,unknown,unknown,unknown,unknown,News & Blog,2026-04-17,GIS data; location / POI data; API integrations,AI / machine learning; cloud platform; real-time collaboration,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
cityweft,https://cityweft.com/,Estonia,unknown,LiDAR / 3D geospatial,Cityweft | Global 3D Models and Urban Data Cityweft is a web platform and API built for the AEC industry to generate and export accurate...,LiDAR and 3D geospatial platform,yes,unknown,unknown,yes,yes,https://www.linkedin.com/company/cityweft/ | https://www.cityweft.com/ | https://www.cityweft.com/about | https://www.cityweft.com/pricing | https://www.cityweft.com/blog | https://cityweft.com/,https://www.linkedin.com/company/cityweft/,2167,,cityweft,Estonia,unknown,unknown,active,LiDAR and 3D geospatial platform,LiDAR / 3D geospatial,map creation; data visualization; site selection; satellite imagery analysis; surveying,government; AEC / infrastructure; energy / utilities; environmental services; real estate,API; SaaS; mobile,government; SMB; enterprise,GIS analyst; planner; developer; surveyor; data analyst,Global,unknown,subscription,yes,€99,SaaS subscriptions,collaborative LiDAR / 3D geospatial,RIEGL; Pix4D; Bentley,unknown,direct,Direct website-led GTM into government; SMB; enterprise users for LiDAR / 3D geospatial.,unknown,2167,unknown,unknown,unknown,Blog | cityweft,2026-04-17,GIS data; satellite imagery; LiDAR / point clouds; API integrations,API-first,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Civ Robotics,https://civrobotics.com/,United States,San Francisco,"Geo Week exhibitor / Architecture, Engineering & Construction (AEC), Energy & Utilities, Infrastructure & Transportation, Surveying & Mapping, GIS/GNSS, Land Surveying, Robotics/Automation","Civ Robotics is a leading construction technology company. Its autonomous systems are modernizing projects in the $3 trillion infrastructure construction industry, including solar farms, roadways...","Architecture, Engineering & Construction (AEC), Energy & Utilities, Infrastructure & Transportation, Surveying & Mapping, GIS/GNSS, Land Surveying, Robotics/Automation",yes,unknown,unknown,unknown,unknown,https://geoweek2026.smallworldlabs.com/exhibitors | https://geoweek2026.smallworldlabs.com/co/civ-robotics | https://geoweek2025.smallworldlabs.com/exhibitors | https://geoweek2025.smallworldlabs.com/co/civ-robotics | https://www.civrobotics.com/ | https://www.civrobotics.com/pricing | https://www.civrobotics.com/news | https://civrobotics.com/,,,,Civ Robotics,United States,San Francisco,unknown,active,"Architecture, Engineering & Construction (AEC), Energy & Utilities, Infrastructure & Transportation, Surveying & Mapping, GIS/GNSS, Land Surveying, Robotics/Automation",surveying services,surveying,AEC / infrastructure; energy / utilities; agriculture; logistics / mobility,services,consumer; SMB; enterprise,GIS analyst; planner; surveyor,Global,unknown,services,yes,"$60,000,",Services and project fees,AI-native surveying services,Esri partners; surveying firms; drone mapping vendors,Partner ecosystem,partner-led,Partner-oriented GTM into consumer; SMB; enterprise accounts for surveying services.,unknown,unknown,unknown,unknown,unknown,Recent source: https://geoweek2026.smallworldlabs.com/exhibitors,2026-04-17,GIS data; location / POI data,AI / machine learning,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
Civ Robotics Inc.,https://civrobotics.com/,,unknown,surveying / geospatial exhibitor,INTERGEO 2025 exhibitor.,"Surveying, mapping, geospatial, photogrammetry, lidar, or related products/services",yes,unknown,unknown,yes,unknown,https://dvw.de/intergeo/en/exhibitors-products/exhibitor-directory | https://dvw.de/api/assets/downloads/intergeo/report/intergeo_report_2025_web%5B98%5D.pdf | https://www.civrobotics.com/ | https://www.civrobotics.com/pricing | https://www.civrobotics.com/news | https://civrobotics.com/,,,,Civ Robotics Inc.,unknown,unknown,unknown,active,"Surveying, mapping, geospatial, photogrammetry, lidar, or related products/services",surveying services,drone mapping; surveying,AEC / infrastructure; energy / utilities; agriculture,services,consumer; SMB; enterprise,GIS analyst; planner; surveyor,Global,unknown,services,yes,"$60,000,",Services and project fees,AI-native surveying services,Esri partners; surveying firms; drone mapping vendors,unknown,direct,Direct website-led GTM into consumer; SMB; enterprise users for surveying services.,unknown,unknown,unknown,unknown,unknown,Recent source: https://dvw.de/api/assets/downloads/intergeo/report/intergeo_report_2025_web%5B98%5D.pdf,2026-04-17,LiDAR / point clouds; location / POI data,AI / machine learning,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,"Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Civic Vanguard Inc,https://civicvanguard.com/,United States,Henrico,GIS / Esri partner,"Civic Vanguard is a Virginia-based software and services company focused on helping local governments harness the power of GIS to plan, manage, and deliver community...","Application Development, Business Case Development, Data Conversion/Migration, Data Model & Database Design, GIS Strategy and Planning, Hosting Services, Implementation, Needs and Requirements, System Architecture and Design, System Integration, Training Services",yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/civic-vanguard-inc-a2TUU000000qa932AA | https://www.civicvanguard.com/ | https://civicvanguard.com/,,,,Civic Vanguard Inc,United States,Henrico,unknown,acquired,GIS-native field operations software,field operations GIS software,geospatial analysis; field operations; project tracking; route optimization; collaboration,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,SaaS; services,consumer; government; enterprise,GIS analyst; planner; project manager,unknown,unknown,services,unknown,unknown,Services and project fees,"collaborative, real-time field operations GIS software",Matidor; Atlas.co; Esri,Esri,partner-led,Partner-oriented GTM into consumer; government; enterprise accounts for field operations GIS software.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; API integrations,cloud platform; real-time collaboration,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
CivicLens,https://civiclens.com/,United States,Missoula,GIS / Esri partner,"CivicLens is a full-service GIS shop offering:- Secure backup solutions for your hosted data, maps, and apps (ArcGIS Online and/or Portal), either through our Windows...","Application Development, Business Case Development, Data Conversion/Migration, Data Model & Database Design, GIS Strategy and Planning, Hosting Services, Implementation, Needs and Requirements, System Architecture and Design, System Integration, Training Services",yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/civiclens-a2Tf2000006QgbBEAS | https://www.civiclens.com/ | https://civiclens.com/,,,,CivicLens,United States,Missoula,unknown,active,Geospatial consulting and integration services,consulting / integration services,data visualization,government; AEC / infrastructure; energy / utilities; logistics / mobility; telecom,API; SaaS; desktop; services,consumer; government; enterprise,GIS analyst; planner; developer; data analyst,United States,unknown,license,unknown,unknown,Software licensing,consulting / integration services,Esri partners; GIS consultancies; system integrators,Esri,marketplace,Marketplace-led distribution for consulting / integration services.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; API integrations,API-first; cloud platform,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
CivicMapper,https://civicmapper.com/,United States,Pittsburgh,GIS / Esri partner,"CivicMapper is a geospatial solutions provider that uses modern mapping technology for solving problems in the natural and built environments. We develop geospatial data, build...","Application Development, Business Case Development, Data Conversion/Migration, Data Model & Database Design, GIS Strategy and Planning, Implementation, Needs and Requirements, System Architecture and Design, System Integration",yes,yes,yes,yes,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/civicmapper-a2T5x000006afVxEAI | https://www.civicmapper.com/ | https://www.civicmapper.com/about | https://www.civicmapper.com/outreach | https://civicmapper.com/,,,,CivicMapper,United States,Pittsburgh,unknown,acquired,Location data and geocoding API,location data API,map creation; geospatial analysis; data visualization; surveying; collaboration,government; AEC / infrastructure; energy / utilities; environmental services; agriculture,API; SaaS; services,consumer; government; SMB; enterprise,GIS analyst; planner; developer; project manager; surveyor,unknown,unknown,subscription,unknown,unknown,SaaS subscriptions,"browser-based, collaborative, real-time location data API",Mapbox; Foursquare; Geocode.XYZ; Placekey,Esri,partner-led,Partner-oriented GTM into consumer; government; SMB; enterprise accounts for location data API.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; LiDAR / point clouds; location / POI data; API integrations; weather / climate data,browser-based; API-first; cloud platform; real-time collaboration,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
CivicPlus,https://civicplus.com/,United States,Manhattan,GIS / Esri partner,"CivicPlus delivers technology solutions that enable local governments to optimize the experience they deliver when interacting with residents. Over 12,000 customers use our solutions, as...","Hosting Services, Implementation, System Integration, Training Services",yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/civicplus-a2Tf2000005TDeSEAW | https://www.civicplus.com/ | https://www.civicplus.com/about-us/ | https://www.civicplus.com/pricing/ | https://www.civicplus.com/case-studies/ | https://www.civicplus.com/blog/ | https://civicplus.com/,,,,CivicPlus,United States,Manhattan,unknown,active,"Hosting Services, Implementation, System Integration, Training Services",consulting / integration services,data visualization; field operations; route optimization; reporting; collaboration,government; AEC / infrastructure; energy / utilities; logistics / mobility; defense / intelligence,API; SaaS; mobile; services,consumer; government; SMB; enterprise,GIS analyst; planner; developer; data analyst,Canada,unknown,subscription,no,Contact sales,SaaS subscriptions,"collaborative, AI-native consulting / integration services",Esri partners; GIS consultancies; system integrators,Esri,partner-led,Partner-oriented GTM into consumer; government; SMB; enterprise accounts for consulting / integration services.,unknown,unknown,unknown,unknown,unknown,CivicPlus Blog,2026-04-17,GIS data; location / POI data; API integrations,AI / machine learning; API-first; cloud platform,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
